Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol h?e	vol.depol 532	error vol.depol 	partdepolh?e	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
2.602068	0.370829	0.055624	0.255643	0.038346	0.117909	0.017686	4.715251	3.372702	-17.318469	6.14208	12.715422	9.292865	-67.744707	-26.086559	NaN	NaN	0.919495	0.48218	1.116455	0.341682	2.602068	0.025941	0.002594	2.602068	0.128108	0.012811	2340.567139	283.525085	74510.48438	2.602068	0.010324	0.001032	2.602068	0.074325	0.007432	0	0	2.602068	0.194423	0.000029	-112.977171	0.056901	-581.089831	-305.371665	0	0	0	0	0	0	0	0	0	0	0	5.584887	0	0	2.602068	0.247102	NaN	-93.872978	0.029607	-379.895602	0	0.006168	0.001157	0.00007
2.60954	0.374584	0.056188	0.255264	0.03829	0.11848	0.017772	2.869348	3.442166	-22.043572	6.136585	7.660082	9.260847	-86.356143	-27.307914	NaN	NaN	0.948076	0.497168	1.107345	0.338894	2.60954	0.026061	0.002606	2.60954	0.129484	0.012948	2348.038574	283.488708	74440.75	2.60954	0.010336	0.001034	2.60954	0.074797	0.00748	0	0	2.60954	0.204351	0.000031	-70.33686	0.058331	-344.195485	-290.077261	0	0	0	0	0	0	0	0	0	0	0	6.319328	0	0	2.60954	0.252268	NaN	-118.958405	0.029176	-471.554928	0	0.006163	0.001156	0.00007
2.617011	0.371728	0.055759	0.25453	0.03818	0.118692	0.017804	2.559393	3.424123	-22.601822	6.127985	6.885122	9.269081	-88.798205	-27.514602	NaN	NaN	0.936265	0.490974	1.100615	0.336834	2.617011	0.02616	0.002616	2.617011	0.130759	0.013076	2355.51001	283.452332	74371.02344	2.617011	0.010356	0.001036	2.617011	0.075405	0.00754	0	0	2.617011	0.205082	0.000031	-67.05441	0.05815	-326.963332	-287.755904	0	0	0	0	0	0	0	0	0	0	0	6.458826	0	0	2.617011	0.255984	NaN	-95.400628	0.030023	-372.681881	0	0.006158	0.001155	0.00007
2.624483	0.380356	0.057053	0.254619	0.038193	0.118841	0.017826	5.528621	3.567621	-22.461563	6.115272	14.535373	9.629755	-88.216218	-27.421308	NaN	NaN	0.992121	0.520265	1.099313	0.336436	2.624483	0.026291	0.002629	2.624483	0.132266	0.013227	2362.981445	283.415955	74301.28906	2.624483	0.010382	0.001038	2.624483	0.076129	0.007613	0	0	2.624483	0.211382	0.000032	-53.905845	0.058113	-255.016223	-277.569333	0	0	0	0	0	0	0	0	0	0	0	5.472145	0	0	2.624483	0.26797	NaN	-100.497568	0.02995	-375.03295	0	0.006153	0.001154	0.00007
2.631954	0.376488	0.056473	0.252963	0.037944	0.118378	0.017757	-0.106825	3.758659	-23.182241	6.114845	-0.283741	-9.983565	-91.642822	-27.808139	-13.299402	-12.299402	0.982986	0.515475	1.095528	0.335277	2.631954	0.026401	0.00264	2.631954	0.133644	0.013364	2370.452881	283.379608	74231.5625	2.631954	0.010407	0.001041	2.631954	0.076812	0.007681	0	0	2.631954	0.215415	0.000032	-104.182107	0.057303	-483.635435	-275.728317	0	0	0	0	0	0	0	0	0	0	0	5.627383	0	0	2.631954	0.274242	NaN	-114.186	0.030024	-416.369336	0	0.006148	0.001154	0.00007
2.639425	0.380425	0.057064	0.253625	0.038044	0.118083	0.017712	-1.306544	3.711192	-26.037931	6.027669	-3.434432	-9.76897	-102.663268	-28.319109	-7.396733	-6.396733	1.002246	0.525575	1.102896	0.337532	2.639425	0.026476	0.002648	2.639425	0.13479	0.013479	2377.924316	283.343231	74161.83594	2.639425	0.01043	0.001043	2.639425	0.077443	0.007744	0	0	2.639425	0.209734	0.000031	-139.606778	0.057563	-665.636219	-292.053452	0	0	0	0	0	0	0	0	0	0	0	6.837562	0	0	2.639425	0.244427	NaN	-136.406721	0.0297	-558.066477	0	0.006143	0.001153	0.00007
2.646897	0.376186	0.056428	0.254022	0.038103	0.118418	0.017763	-2.261897	3.698268	-24.1424	6.04043	-6.012717	-9.872253	-95.040771	-27.725214	-5.85319	-4.85319	0.970676	0.50902	1.101056	0.336969	2.646897	0.026542	0.002654	2.646897	0.135888	0.013589	2385.395752	283.306854	74092.10156	2.646897	0.010453	0.001045	2.646897	0.07809	0.007809	0	0	2.646897	0.221178	0.000033	-134.452353	0.057555	-607.891989	-275.734944	0	0	0	0	0	0	0	0	0	0	0	8.976303	0	0	2.646897	0.224585	NaN	-121.984504	0.029799	-543.155329	0	0.006138	0.001152	0.00007
2.654368	0.374873	0.056231	0.254525	0.038179	0.118117	0.017717	-3.83691	3.676589	-23.091131	6.035901	-10.235217	-9.926989	-90.722475	-27.341538	-4.436754	-3.436754	0.957145	0.501924	1.107596	0.338971	2.654368	0.026561	0.002656	2.654368	0.136695	0.013669	2392.867187	283.270508	74022.375	2.654368	0.010469	0.001047	2.654368	0.078609	0.007861	0	0	2.654368	0.223406	0.000034	-129.969564	0.057415	-581.763215	-271.409482	0	0	0	0	0	0	0	0	0	0	0	8.795665	0	0	2.654368	0.238598	NaN	-124.946793	0.029721	-523.671347	0	0.006133	0.001151	0.00007
2.66184	0.380368	0.057055	0.251843	0.037776	0.117876	0.017681	-3.964791	3.667987	-24.324572	5.974931	-10.423569	-9.769194	-96.586368	-27.798732	-4.484348	-3.484348	1.019303	0.534519	1.095248	0.335192	2.66184	0.026637	0.002664	2.66184	0.137911	0.013791	2400.338623	283.234131	73952.64063	2.66184	0.010466	0.001047	2.66184	0.078755	0.007875	0	0	2.66184	0.230071	0.000035	-181.846032	0.056474	-790.390661	-272.595639	0	0	0	0	0	0	0	0	0	0	0	8.226081	0	0	2.66184	0.266197	NaN	-121.295242	0.029595	-455.659926	0	0.006128	0.00115	0.00007
2.669311	0.380637	0.057096	0.251089	0.037663	0.11731	0.017597	-5.391445	3.681581	-28.135697	5.88484	-14.164273	-9.902766	-112.054515	-28.841267	-4.084353	-3.084353	1.028456	0.539319	1.097872	0.335995	2.669311	0.026683	0.002668	2.669311	0.13893	0.013893	2407.810303	283.197754	73882.91406	2.669311	0.010472	0.001047	2.669311	0.079054	0.007905	0	0	2.669311	0.219885	0.000033	-84.883934	0.054202	-386.038631	-253.213044	0	0	0	0	0	0	0	0	0	0	0	8.4665	0	0	2.669311	0.326092	NaN	-96.391108	0.031157	-295.594985	0	0.006123	0.001149	0.00007
2.676783	0.374373	0.056156	0.250931	0.03764	0.117139	0.017571	-10.053616	3.850152	-29.636767	5.854637	-26.854563	-11.045026	-118.107407	-29.29554	-2.672471	-1.672471	0.988999	0.518628	1.099061	0.336359	2.676783	0.02664	0.002664	2.676783	0.139338	0.013934	2415.281738	283.161377	73813.17969	2.676783	0.010485	0.001048	2.676783	0.079551	0.007955	0	0	2.676783	0.222595	0.000033	-120.29011	0.053725	-540.398611	-254.603893	0	0	0	0	0	0	0	0	0	0	0	6.633337	0	0	2.676783	0.318461	NaN	-86.730137	0.031327	-272.341767	0	0.006118	0.001148	0.000069
2.684254	0.380324	0.057049	0.249896	0.037484	0.116296	0.017444	-10.286802	3.836681	-34.525191	5.938311	-27.047488	-10.87321	-138.158306	-31.530311	-2.993203	-1.993203	1.0382	0.544429	1.103529	0.337726	2.684254	0.026525	0.002653	2.684254	0.139263	0.013926	2422.753174	283.121033	73740.53906	2.684254	0.010451	0.001045	2.684254	0.079136	0.007914	0	0	2.684254	0.20292	0.00003	-155.712397	0.054861	-767.358645	-293.839655	0	0	0	0	0	0	0	0	0	0	0	6.78961	0	0	2.684254	0.293351	NaN	-92.050518	0.031363	-313.789304	0	0.006113	0.001147	0.000069
2.691726	0.376909	0.056536	0.249875	0.037481	0.116289	0.017443	-12.276752	3.824587	-34.828542	5.913361	-32.572218	-11.26224	-139.383619	-31.577978	-2.57766	-1.57766	1.016105	0.532842	1.103495	0.337716	2.691726	0.026425	0.002642	2.691726	0.139324	0.013932	2430.224609	283.055481	73649.53906	2.691726	0.010435	0.001043	2.691726	0.07907	0.007907	0	0	2.691726	0.203238	0.00003	-160.492144	0.0546	-789.677378	-293.604898	0	0	0	0	0	0	0	0	0	0	0	6.973275	0	0	2.691726	0.320571	NaN	-48.829076	0.032628	-152.319145	0	0.006107	0.001146	0.000069
2.699197	0.375142	0.056271	0.24915	0.037372	0.115155	0.017273	-13.664167	3.824766	-28.318616	5.999919	-36.423959	-11.567161	-113.661117	-29.505889	-1.801474	-0.801474	1.011684	0.530524	1.11344	0.340759	2.699197	0.026287	0.002629	2.699197	0.139147	0.013915	2437.696045	282.989929	73558.53906	2.699197	0.0104	0.00104	2.699197	0.078613	0.007861	0	0	2.699197	0.198164	0.00003	-152.473263	0.05455	-769.431435	-298.495461	0	0	0	0	0	0	0	0	0	0	0	7.468652	0	0	2.699197	0.399042	NaN	-52.13592	0.032452	-130.652789	0	0.006101	0.001145	0.000069
2.706669	0.364938	0.054741	0.248817	0.037323	0.113763	0.017064	-12.928585	3.764063	-34.752173	5.775828	-35.426846	-11.602715	-139.669392	-31.269293	-2.444347	-1.444347	0.946805	0.496502	1.12906	0.345539	2.706669	0.026131	0.002613	2.706669	0.138865	0.013887	2445.16748	282.924377	73467.53906	2.706669	0.010372	0.001037	2.706669	0.0783	0.00783	0	0	2.706669	0.199953	0.00003	-177.00542	0.053829	-885.235112	-300.175413	0	0	0	0	0	0	0	0	0	0	0	7.21819	0	0	2.706669	0.365775	NaN	-38.495257	0.03211	-105.243009	0	0.006095	0.001144	0.000069
2.71414	0.363097	0.054465	0.246188	0.036928	0.112856	0.016928	-10.958887	3.837415	-30.291885	5.794692	-30.181718	-11.497423	-123.043519	-29.910927	-2.513386	-1.513386	0.960563	0.503717	1.125284	0.344384	2.71414	0.025954	0.002595	2.71414	0.13844	0.013844	2452.638916	282.858856	73376.54688	2.71414	0.010334	0.001033	2.71414	0.077801	0.00778	0	0	2.71414	0.202947	0.00003	-131.754385	0.053581	-649.206764	-281.402696	0	0	0	0	0	0	0	0	0	0	0	8.479377	0	0	2.71414	0.359791	NaN	-23.727175	0.031697	-65.947164	0	0.006089	0.001142	0.000069
2.721612	0.365183	0.054777	0.242587	0.036388	0.111185	0.016678	-9.435924	3.856128	-34.391716	5.896082	-25.838887	-11.248281	-141.770405	-32.294829	-3.197057	-2.197057	1.011151	0.530245	1.125542	0.344463	2.721612	0.025757	0.002576	2.721612	0.13785	0.013785	2460.110352	282.793304	73285.54688	2.721612	0.010294	0.001029	2.721612	0.077288	0.007729	0	0	2.721612	0.200476	0.00003	-128.18533	0.053522	-639.403328	-283.681104	0	0	0	0	0	0	0	0	0	0	0	8.6401	0	0	2.721612	0.357152	NaN	-29.928481	0.031497	-83.797632	0	0.006083	0.001141	0.000069
2.729083	0.367287	0.055093	0.239368	0.035905	0.109773	0.016466	-9.849307	3.843382	-29.169984	5.833804	-26.816376	-11.210735	-121.862638	-30.465016	-2.683981	-1.683981	1.058382	0.555012	1.124708	0.344208	2.729083	0.025503	0.00255	2.729083	0.136849	0.013685	2467.581787	282.727753	73194.54688	2.729083	0.010228	0.001023	2.729083	0.076249	0.007625	0	0	2.729083	0.194078	0.000029	-108.356563	0.053353	-558.313911	-287.37723	0	0	0	0	0	0	0	0	0	0	0	9.125414	0	0	2.729083	0.340356	NaN	-26.257578	0.031258	-77.147322	0	0.006076	0.00114	0.000069
2.736554	0.356579	0.053487	0.234791	0.035219	0.108064	0.01621	-12.683457	3.968807	-27.409322	5.782264	-35.569826	-12.342985	-116.739034	-30.218056	-1.904909	-0.904909	1.032959	0.541681	1.11949	0.342611	2.736554	0.02531	0.002531	2.736554	0.136325	0.013632	2475.053223	282.662201	73103.54688	2.736554	0.010149	0.001015	2.736554	0.074995	0.0075	0	0	2.736554	0.184063	0.000028	-39.935715	0.052477	-216.967568	-286.953513	0	0	0	0	0	0	0	0	0	0	0	9.021247	0	0	2.736554	0.34142	NaN	-48.666209	0.03179	-142.540707	0	0.00607	0.001139	0.000069
2.744026	0.353039	0.052956	0.23061	0.034591	0.106115	0.015917	-12.791404	3.962116	-36.544355	6.159037	-36.232306	-12.4696	-158.468549	-35.753666	-2.595023	-1.595023	1.052718	0.552042	1.119822	0.342712	2.744026	0.024979	0.002498	2.744026	0.134776	0.013478	2482.524902	282.596649	73012.54688	2.744026	0.010094	0.001009	2.744026	0.074208	0.007421	0	0	2.744026	0.165475	0.000025	-65.830626	0.053509	-397.82857	-328.825374	0	0	0	0	0	0	0	0	0	0	0	8.599051	0	0	2.744026	0.357717	NaN	-60.95417	0.031655	-170.397632	0	0.006064	0.001138	0.000069
2.751497	0.348874	0.052331	0.229379	0.034407	0.105171	0.015776	-13.185978	3.951719	-36.142329	6.156085	-37.795814	-12.666656	-157.566302	-35.761633	-2.492575	-1.492575	1.036615	0.543598	1.124991	0.344294	2.751497	0.024613	0.002461	2.751497	0.132972	0.013297	2489.996338	282.531097	72921.54688	2.751497	0.010029	0.001003	2.751497	0.073205	0.00732	0	0	2.751497	0.165853	0.000025	-58.437914	0.053392	-352.346844	-326.235278	0	0	0	0	0	0	0	0	0	0	0	8.960164	0	0	2.751497	0.331739	NaN	-67.620747	0.031717	-203.837252	0	0.006058	0.001137	0.000069
2.758969	0.344415	0.051662	0.227693	0.034154	0.103459	0.015519	-13.573707	3.926651	-29.299715	6.41494	-39.410874	-12.842443	-128.680934	-34.151549	-1.902087	-0.902087	1.023052	0.536486	1.138023	0.348283	2.758969	0.024256	0.002426	2.758969	0.1312	0.01312	2497.467773	282.465576	72830.54688	2.758969	0.009986	0.000999	2.758969	0.072666	0.007267	0	0	2.758969	0.145943	0.000022	-98.373165	0.05403	-674.051178	-383.771204	0	0	0	0	0	0	0	0	0	0	0	7.686733	0	0	2.758969	0.311365	NaN	-36.158664	0.030981	-116.12962	0	0.006052	0.001135	0.000069
2.76644	0.340743	0.051111	0.224351	0.033653	0.101879	0.015282	-15.862098	3.935246	-26.021653	6.532224	-46.551505	-13.495861	-115.986115	-33.918001	-1.223647	-0.223647	1.033098	0.541753	1.138901	0.348551	2.76644	0.023941	0.002394	2.76644	0.12974	0.012974	2504.939209	282.400024	72739.54688	2.76644	0.009925	0.000992	2.76644	0.071744	0.007174	0	0	2.76644	0.142966	0.000021	-86.505175	0.053907	-605.074493	-387.828524	0	0	0	0	0	0	0	0	0	0	0	8.089531	0	0	2.76644	0.272008	NaN	-7.760701	0.030132	-28.5312	0	0.006046	0.001134	0.000069
2.773912	0.352194	0.052829	0.222374	0.033356	0.099878	0.014982	-12.922908	4.096013	-18.229259	6.45116	-36.692634	-12.86662	-81.975766	-31.508827	-0.850444	0.149556	1.136692	0.596078	1.154747	0.353401	2.773912	0.023594	0.002359	2.773912	0.128057	0.012806	2512.410645	282.334473	72648.54688	2.773912	0.009856	0.000986	2.773912	0.070652	0.007065	0	0	2.773912	0.130909	0.00002	-98.392931	0.053922	-751.612735	-427.0534	0	0	0	0	0	0	0	0	0	0	0	8.904942	0	0	2.773912	0.281107	NaN	-35.802283	0.030011	-127.361964	0	0.00604	0.001133	0.000069
2.781383	0.356575	0.053486	0.217918	0.032688	0.098234	0.014735	-9.088717	4.281093	-19.225706	6.440516	-25.488939	-12.600223	-88.224493	-32.382314	-1.852081	-0.852081	1.217291	0.638344	1.149493	0.351793	2.781383	0.023315	0.002332	2.781383	0.126877	0.012688	2519.88208	282.268921	72557.55469	2.781383	0.009793	0.000979	2.781383	0.069662	0.006966	0	0	2.781383	0.137349	0.000021	-49.226012	0.055461	-358.400055	-407.359809	0	0	0	0	0	0	0	0	0	0	0	8.756825	0	0	2.781383	0.252746	NaN	-35.510981	0.029929	-140.500816	0	0.006033	0.001132	0.000069
2.788855	0.355126	0.053269	0.213602	0.03204	0.095689	0.014353	-5.810556	4.316619	-23.651349	6.542515	-16.361971	-12.400489	-110.726355	-34.842835	-3.470098	-2.470098	1.256677	0.658998	1.158491	0.354547	2.788855	0.022956	0.002296	2.788855	0.12506	0.012506	2527.353516	282.2034	72466.55469	2.788855	0.009726	0.000973	2.788855	0.068574	0.006857	0	0	2.788855	0.143094	0.000021	-32.89195	0.055622	-229.862633	-390.239196	0	0	0	0	0	0	0	0	0	0	0	9.194045	0	0	2.788855	0.245008	NaN	-31.250572	0.029799	-127.549335	0	0.006027	0.001131	0.000068
2.796326	0.353715	0.053057	0.208312	0.031247	0.093769	0.014065	-6.175301	4.309881	-21.071334	6.406724	-17.458398	-12.462846	-101.152715	-34.294494	-3.034062	-2.034062	1.308828	0.686346	1.151567	0.352428	2.796326	0.022664	0.002266	2.796326	0.123745	0.012374	2534.824951	282.137848	72375.55469	2.796326	0.009665	0.000967	2.796326	0.067598	0.00676	0	0	2.796326	0.144668	0.000022	-33.761915	0.055436	-233.375815	-384.794144	0	0	0	0	0	0	0	0	0	0	0	9.197879	0	0	2.796326	0.196163	NaN	-23.916438	0.029441	-121.921146	0	0.006021	0.00113	0.000068
2.803798	0.341492	0.051224	0.20729	0.031093	0.092526	0.013879	-9.767979	4.296364	-23.905537	6.363	-28.60386	-13.292661	-115.324301	-35.234902	-2.212469	-1.212469	1.234053	0.647133	1.163721	0.356147	2.803798	0.022334	0.002233	2.803798	0.122119	0.012212	2542.296387	282.072296	72284.55469	2.803798	0.009631	0.000963	2.803798	0.067176	0.006718	0	0	2.803798	0.151154	0.000023	24.058694	0.057559	159.167156	381.548529	0	0	0	0	0	0	0	0	0	0	0	9.642733	0	0	2.803798	0.222352	NaN	-33.04952	0.02912	-148.636299	0	0.006015	0.001128	0.000068
2.811269	0.347462	0.052119	0.206568	0.030985	0.091782	0.013767	-10.007239	4.283218	-14.732119	6.802816	-28.80093	-13.062239	-71.318484	-34.626527	-0.955987	0.044013	1.285521	0.674123	1.170335	0.358172	2.811269	0.02201	0.002201	2.811269	0.120546	0.012055	2549.767822	282.006744	72193.55469	2.811269	0.009564	0.000956	2.811269	0.066102	0.00661	0	0	2.811269	0.152292	0.000023	-19.337547	0.057586	-126.976572	-378.608618	0	0	0	0	0	0	0	0	0	0	0	7.897301	0	0	2.811269	0.210864	NaN	-16.744221	0.02927	-79.407825	0	0.006009	0.001127	0.000068
2.818741	0.350658	0.052599	0.203176	0.030476	0.090393	0.013559	-7.368585	4.295518	-13.061486	6.765857	-21.013573	-12.648897	-64.28649	-34.668516	-1.415095	-0.415095	1.349083	0.707455	1.16845	0.357595	2.818741	0.021703	0.00217	2.818741	0.119129	0.011913	2557.239502	281.941193	72102.55469	2.818741	0.009494	0.000949	2.818741	0.064996	0.0065	0	0	2.818741	0.149614	0.000022	-19.819241	0.057434	-132.468832	-384.395772	0	0	0	0	0	0	0	0	0	0	0	6.854665	0	0	2.818741	0.194499	NaN	-2.126609	0.029479	-10.933752	0	0.006003	0.001126	0.000068
2.826212	0.345039	0.051756	0.202023	0.030303	0.08902	0.013353	-8.06246	4.294987	-8.928343	6.767917	-23.366781	-12.93187	-44.194763	-34.150389	-0.252177	0.747823	1.323226	0.693895	1.182323	0.36184	2.826212	0.021455	0.002146	2.826212	0.118165	0.011816	2564.710937	281.875641	72011.55469	2.826212	0.009428	0.000943	2.826212	0.063961	0.006396	0	0	2.826212	0.149812	0.000022	-27.050418	0.057267	-180.562791	-383.215329	0	0	0	0	0	0	0	0	0	0	0	6.416978	0	0	2.826212	0.249335	NaN	26.994176	0.03024	108.26453	0	0.005996	0.001125	0.000068
2.833683	0.344601	0.05169	0.200171	0.030026	0.087553	0.013133	-7.583158	4.293846	-5.876196	6.792773	-22.005607	-12.890132	-29.355942	-34.219418	0.630418	1.630418	1.342851	0.704187	1.193001	0.365108	2.833683	0.021221	0.002122	2.833683	0.117275	0.011727	2572.182373	281.81012	71920.55469	2.833683	0.00937	0.000937	2.833683	0.063067	0.006307	0	0	2.833683	0.147024	0.000022	3.535966	0.058089	24.050189	395.116493	0	0	0	0	0	0	0	0	0	0	0	6.677397	0	0	2.833683	0.224047	NaN	-3.205669	0.030975	-14.30804	0	0.00599	0.001124	0.000068
2.841155	0.340867	0.05113	0.196759	0.029514	0.086353	0.012953	-8.925696	4.302392	-4.523499	6.765193	-26.185312	-13.21895	-22.989999	-34.555572	1.680112	2.680112	1.358404	0.712343	1.188109	0.363611	2.841155	0.021007	0.002101	2.841155	0.116539	0.011654	2579.653809	281.744568	71829.5625	2.841155	0.009308	0.000931	2.841155	0.062092	0.006209	0	0	2.841155	0.126007	0.000019	-14.771705	0.058713	-117.228842	-466.281101	0	0	0	0	0	0	0	0	0	0	0	6.245401	0	0	2.841155	0.232309	NaN	-6.999892	0.030764	-30.131839	0	0.005984	0.001123	0.000068
2.848626	0.339591	0.050939	0.193265	0.02899	0.085301	0.012795	-7.472149	4.26035	-8.69029	6.869701	-22.003398	-12.972434	-44.965696	-36.179788	-0.373335	0.626665	1.393433	0.730712	1.179939	0.361111	2.848626	0.020734	0.002073	2.848626	0.115379	0.011538	2587.125244	281.679016	71738.5625	2.848626	0.009243	0.000924	2.848626	0.061073	0.006107	0	0	2.848626	0.116316	0.000017	26.285876	0.057821	225.986231	498.259175	0	0	0	0	0	0	0	0	0	0	0	7.228354	0	0	2.848626	0.194285	NaN	2.3198	0.030725	11.94018	0	0.005978	0.001122	0.000068
2.856098	0.332094	0.049814	0.193829	0.029074	0.083336	0.0125	-13.720643	4.412843	-19.303267	6.640457	-41.31548	-14.662041	-99.589005	-37.374512	-0.843884	0.156116	1.331044	0.697996	1.21778	0.372691	2.856098	0.02043	0.002043	2.856098	0.113969	0.011397	2594.59668	281.613464	71647.5625	2.856098	0.009194	0.000919	2.856098	0.060401	0.00604	0	0	2.856098	0.11598	0.000017	29.97022	0.057724	258.407889	499.210169	0	0	0	0	0	0	0	0	0	0	0	6.744593	0	0	2.856098	0.164846	NaN	-8.512809	0.030948	-51.640942	0	0.005972	0.00112	0.000068
2.863569	0.338418	0.050763	0.191192	0.028679	0.082334	0.01235	-17.634083	4.426733	-15.204651	6.682659	-52.107421	-15.237966	-79.525377	-36.932041	0.366435	1.366435	1.411532	0.740203	1.215466	0.371983	2.863569	0.020203	0.00202	2.863569	0.113208	0.011321	2602.068115	281.547943	71556.5625	2.863569	0.009138	0.000914	2.863569	0.059612	0.005961	0	0	2.863569	0.109269	0.000016	120.010835	0.058394	1098.301835	559.218562	0	0	0	0	0	0	0	0	0	0	0	6.923662	0	0	2.863569	0.172315	NaN	-39.718013	0.030852	-230.496897	0	0.005965	0.001119	0.000068
2.871041	0.331607	0.049741	0.185545	0.027832	0.080642	0.012096	-13.297881	4.381416	-17.491391	6.713485	-40.101309	-14.51748	-94.270471	-38.847569	-0.677594	0.322406	1.435397	0.752718	1.202173	0.367915	2.871041	0.019964	0.001996	2.871041	0.112316	0.011232	2609.539551	281.482391	71465.5625	2.871041	0.009089	0.000909	2.871041	0.058955	0.005896	0	0	2.871041	0.117566	0.000018	145.120656	0.05884	1234.379672	533.640053	0	0	0	0	0	0	0	0	0	0	0	5.784194	0	0	2.871041	0.120351	NaN	-11.238562	0.029621	-93.381438	0	0.005959	0.001118	0.000068
2.878512	0.331288	0.049693	0.182099	0.027315	0.078828	0.011824	-14.650626	4.391181	-19.377342	6.678093	-44.223292	-14.822127	-106.410989	-39.995908	-0.691233	0.308767	1.479352	0.775768	1.207943	0.369681	2.878512	0.019735	0.001973	2.878512	0.111507	0.011151	2617.010986	281.41684	71374.5625	2.878512	0.009034	0.000903	2.878512	0.0582	0.00582	0	0	2.878512	0.115263	0.000017	163.484883	0.058408	1418.367826	549.587714	0	0	0	0	0	0	0	0	0	0	0	9.073098	0	0	2.878512	0.168063	NaN	10.979734	0.030941	65.330925	0	0.005953	0.001117	0.000068
2.885984	0.331235	0.049685	0.179471	0.026921	0.07721	0.011581	-12.129713	4.447621	-14.778676	6.664833	-36.619704	-14.507509	-82.345888	-39.136363	-0.488294	0.511706	1.514897	0.794407	1.216891	0.37242	2.885984	0.019418	0.001942	2.885984	0.109974	0.010997	2624.482422	281.351288	71283.57031	2.885984	0.008967	0.000897	2.885984	0.057142	0.005714	0	0	2.885984	0.116078	0.000017	150.066098	0.058227	1292.799615	537.793878	0	0	0	0	0	0	0	0	0	0	0	9.552329	0	0	2.885984	0.169028	NaN	5.955261	0.030852	35.232421	0	0.005947	0.001116	0.000068
2.893455	0.335896	0.050384	0.179239	0.026886	0.075662	0.011349	-12.98756	4.435341	-7.053104	6.81613	-38.665407	-14.422091	-39.350243	-38.483484	1.509235	2.509235	1.552636	0.814197	1.244252	0.380793	2.893455	0.019181	0.001918	2.893455	0.109087	0.010909	2631.954102	281.285736	71192.5625	2.893455	0.008918	0.000892	2.893455	0.056522	0.005652	0	0	2.893455	0.122845	0.000018	151.80681	0.058108	1235.759537	508.040102	0	0	0	0	0	0	0	0	0	0	0	9.73414	0	0	2.893455	0.198841	NaN	-7.993171	0.030282	-40.198855	0	0.005941	0.001115	0.000067
2.900927	0.334273	0.050141	0.178509	0.026776	0.074277	0.011142	-17.205103	4.478803	-13.92272	6.903467	-51.470227	-15.463837	-77.994654	-40.403878	0.523289	1.523289	1.550756	0.813212	1.26501	0.387146	2.900927	0.018823	0.001882	2.900927	0.107172	0.010717	2639.425537	281.220184	71101.5625	2.900927	0.008842	0.000884	2.900927	0.055288	0.005529	0	0	2.900927	0.11649	0.000017	181.815422	0.057212	1560.777733	544.081245	0	0	0	0	0	0	0	0	0	0	0	9.842196	0	0	2.900927	0.224684	NaN	12.854883	0.030695	57.213163	0	0.005934	0.001113	0.000067
2.908398	0.332099	0.049815	0.176683	0.026502	0.072969	0.010945	-12.808019	4.490762	-10.12916	6.951453	-38.566864	-14.707844	-57.329479	-40.272969	0.58007	1.58007	1.560036	0.818078	1.275807	0.39045	2.908398	0.018491	0.001849	2.908398	0.105462	0.010546	2646.896973	281.154663	71010.57031	2.908398	0.008779	0.000878	2.908398	0.054354	0.005435	0	0	2.908398	0.116673	0.000018	211.822955	0.055944	1815.527096	551.433881	0	0	0	0	0	0	0	0	0	0	0	10.373808	0	0	2.908398	0.233605	NaN	-30.08002	0.030882	-128.76456	0	0.005928	0.001112	0.000067
