Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol h?e	vol.depol 532	error vol.depol 	partdepolh?e	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.338216	2.388396	0.358259	1.509368	0.226405	0.791482	0.118722	-5263.487726	1295.86816	-5951.599074	1505.13021	-2203.775029	-635.338077	-3943.107624	-1159.407275	-0.303729	0.696271	1.134492	0.594924	0.931317	0.285022	0.338216	0.01838	0.001838	0.338216	0.031138	0.003114	76.7146	296.860779	99484.73438	0.338216	0.008746	0.000875	0.338216	0.016142	0.001614	0	0	0.338216	1.476583	0.000221	-136.677903	0.081902	-92.563653	-57.178801	0	0	0	0	0	0	0	0	0	0	0	0.428488	0	0	0.338216	2.384115	NaN	-83.523257	0.066279	-35.033234	0	0.007866	0.001476	0.000089
0.345687	2.37766	0.356649	1.500862	0.225129	0.785021	0.117753	-4981.27765	1223.756561	-5632.552545	1424.222025	-2095.033484	-603.043474	-3752.87919	-1103.345946	-0.303754	0.696246	1.137326	0.59641	0.934988	0.286146	0.345687	0.01843	0.001843	0.345687	0.031259	0.003126	84.186066	296.774902	99387.21875	0.345687	0.008766	0.000877	0.345687	0.016236	0.001624	0	0	0.345687	1.469651	0.00022	-112.235784	0.073901	-76.369001	-51.573353	0	0	0	0	0	0	0	0	0	0	0	0.4236	0	0	0.345687	2.364833	NaN	-66.130828	0.053558	-27.964266	0	0.00786	0.001475	0.000089
0.353159	2.36752	0.355128	1.49284	0.223926	0.778795	0.116819	-4701.723034	1149.98409	-5315.748358	1340.995994	-1985.927872	-569.802789	-3560.828983	-1045.086069	-0.303429	0.696571	1.140008	0.597816	0.938745	0.287295	0.353159	0.018492	0.001849	0.353159	0.031405	0.003141	91.657524	296.689026	99289.69531	0.353159	0.008794	0.000879	0.353159	0.016367	0.001637	0	0	0.353159	1.454191	0.000218	-108.042938	0.069813	-74.297632	-49.284441	0	0	0	0	0	0	0	0	0	0	0	0.418609	0	0	0.353159	2.344978	NaN	-47.64285	0.04548	-20.316973	0	0.007855	0.001474	0.000089
0.36063	2.354796	0.353219	1.486991	0.223049	0.772771	0.115916	-4427.173971	1075.112373	-5001.334409	1255.228645	-1880.067065	-536.637076	-3363.39274	-983.413313	-0.301448	0.698552	1.136391	0.59592	0.944283	0.28899	0.36063	0.018558	0.001856	0.36063	0.03156	0.003156	99.128983	296.60318	99192.17188	0.36063	0.008821	0.000882	0.36063	0.016496	0.00165	0	0	0.36063	1.444111	0.000217	-103.106655	0.066844	-71.398036	-47.509924	0	0	0	0	0	0	0	0	0	0	0	0.413934	0	0	0.36063	2.332678	NaN	-33.681131	0.040715	-14.438828	0	0.00785	0.001473	0.000089
0.368102	2.345141	0.351771	1.479606	0.221941	0.766624	0.114994	-4157.755446	999.661887	-4689.076581	1165.022182	-1772.923197	-502.422971	-3169.138244	-919.75817	-0.297287	0.702713	1.138542	0.597048	0.948621	0.290318	0.368102	0.018611	0.001861	0.368102	0.03169	0.003169	106.600441	296.517303	99094.64844	0.368102	0.00885	0.000885	0.368102	0.016633	0.001663	0	0	0.368102	1.43734	0.000216	-91.437093	0.06512	-63.615509	-46.300186	0	0	0	0	0	0	0	0	0	0	0	0.409097	0	0	0.368102	2.325565	NaN	-22.636123	0.037955	-9.7336	0	0.007844	0.001472	0.000089
0.375573	2.336307	0.350446	1.47255	0.220883	0.760354	0.114053	-3895.665865	924.249691	-4383.60168	1072.523924	-1667.445932	-468.03851	-2976.877985	-854.328096	-0.291715	0.708285	1.14103	0.598353	0.953574	0.291834	0.375573	0.018656	0.001866	0.375573	0.031807	0.003181	114.071907	296.431427	98997.125	0.375573	0.00888	0.000888	0.375573	0.016776	0.001678	0	0	0.375573	1.43058	0.000215	-80.294531	0.063546	-56.127257	-45.210836	0	0	0	0	0	0	0	0	0	0	0	0.40434	0	0	0.375573	2.32234	NaN	-11.401359	0.03628	-4.909426	0	0.007839	0.001471	0.000089
0.383044	2.326957	0.349044	1.466825	0.220024	0.754813	0.113222	-3640.413908	847.950825	-4083.836735	978.627683	-1564.452756	-433.426842	-2784.133281	-787.100803	-0.284134	0.715866	1.140746	0.598204	0.958506	0.293343	0.383044	0.018728	0.001873	0.383044	0.031978	0.003198	121.543365	296.345551	98899.60156	0.383044	0.008912	0.000891	0.383044	0.016925	0.001693	0	0	0.383044	1.420281	0.000213	-76.290751	0.061389	-53.715262	-43.968031	0	0	0	0	0	0	0	0	0	0	0	0.399712	0	0	0.383044	2.306776	NaN	-4.190593	0.034278	-1.816645	0	0.007833	0.00147	0.000089
0.390516	2.315731	0.34736	1.460672	0.219101	0.748952	0.112343	-3394.969194	773.26609	-3795.146658	884.25889	-1466.046669	-399.826063	-2598.219732	-719.982288	-0.275454	0.724546	1.139183	0.597384	0.963688	0.294929	0.390516	0.018778	0.001878	0.390516	0.032105	0.003211	129.014832	296.259705	98802.07813	0.390516	0.008954	0.000895	0.390516	0.017122	0.001712	0	0	0.390516	1.413261	0.000212	-67.315662	0.059605	-47.631455	-42.776112	0	0	0	0	0	0	0	0	0	0	0	0.395263	0	0	0.390516	2.297493	NaN	0.385398	0.032269	0.167747	0	0.007828	0.001469	0.000089
0.397987	2.305299	0.345795	1.454137	0.218121	0.743044	0.111457	-3162.560091	701.777191	-3521.86543	793.228426	-1371.865691	-367.445785	-2421.962325	-655.40101	-0.266013	0.733987	1.139106	0.597344	0.968645	0.296446	0.397987	0.018836	0.001884	0.397987	0.032251	0.003225	136.486282	296.173828	98704.55469	0.397987	0.008993	0.000899	0.397987	0.017307	0.001731	0	0	0.397987	1.401295	0.00021	-63.525633	0.057632	-45.333533	-41.686016	0	0	0	0	0	0	0	0	0	0	0	0.391814	0	0	0.397987	2.282822	NaN	5.205881	0.030143	2.280458	0	0.007822	0.001468	0.000089
0.405459	2.297301	0.344595	1.448693	0.217304	0.737859	0.110679	-2943.769449	635.037337	-3267.381647	710.065145	-1281.403632	-336.685486	-2255.400242	-595.560995	-0.257828	0.742172	1.139787	0.597701	0.973334	0.297881	0.405459	0.018905	0.001891	0.405459	0.03242	0.003242	143.957748	296.087952	98607.03906	0.405459	0.009033	0.000903	0.405459	0.017499	0.00175	0	0	0.405459	1.398468	0.00021	-48.829577	0.059326	-34.916472	-42.744243	0	0	0	0	0	0	0	0	0	0	0	0.387503	0	0	0.405459	2.276638	NaN	8.189614	0.029173	3.59724	0	0.007817	0.001467	0.000089
